Sequence,Trial,Frame,Value
231027_S103_obj_01_grasp_13,trial_0,mas_5,0.24
231027_S103_obj_01_grasp_13,trial_0,mas_6,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_7,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_11,0.25
231027_S103_obj_01_grasp_13,trial_0,mas_12,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_13,0.23
231027_S103_obj_01_grasp_13,trial_0,mas_14,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_44,0.27
231027_S103_obj_01_grasp_13,trial_0,mas_109,0.26
231027_S103_obj_01_grasp_13,trial_0,sub1_6,0.34
231027_S103_obj_01_grasp_13,trial_0,sub1_12,0.35
231027_S103_obj_01_grasp_13,trial_0,sub1_69,0.49
231027_S103_obj_01_grasp_13,trial_0,sub1_90,0.24
231027_S103_obj_01_grasp_13,trial_0,sub1_91,0.25
231027_S103_obj_01_grasp_13,trial_0,sub1_92,0.25
231027_S103_obj_01_grasp_13,trial_0,sub1_98,0.32
231027_S103_obj_01_grasp_13,trial_0,sub1_99,0.35
231027_S103_obj_01_grasp_13,trial_0,sub1_100,0.36
231027_S103_obj_01_grasp_13,trial_0,sub1_109,0.29
231027_S103_obj_01_grasp_13,trial_0,sub2_12,0.43
231027_S103_obj_01_grasp_13,trial_0,sub2_69,0.43
231027_S103_obj_01_grasp_13,trial_0,sub2_109,0.35
231027_S103_obj_01_grasp_13,trial_0,sub3_12,0.37
231027_S103_obj_01_grasp_13,trial_0,sub3_69,0.34
231027_S103_obj_01_grasp_13,trial_0,sub3_99,0.32
231027_S103_obj_01_grasp_13,trial_0,sub3_100,0.36
231027_S103_obj_01_grasp_13,trial_0,sub3_109,0.33
231027_S103_obj_01_grasp_19,trial_0,mas_7,0.18
231027_S103_obj_01_grasp_19,trial_0,mas_14,0.25
231027_S103_obj_01_grasp_19,trial_0,mas_22,0.3
231027_S103_obj_01_grasp_19,trial_0,mas_34,0.27
231027_S103_obj_01_grasp_19,trial_0,mas_37,0.22
231027_S103_obj_01_grasp_19,trial_0,mas_38,0.23
231027_S103_obj_01_grasp_19,trial_0,mas_44,0.29
231027_S103_obj_01_grasp_19,trial_0,mas_46,0.31
231027_S103_obj_01_grasp_19,trial_0,mas_48,0.31
231027_S103_obj_01_grasp_19,trial_0,mas_49,0.35
231027_S103_obj_01_grasp_19,trial_0,mas_50,0.32
231027_S103_obj_01_grasp_19,trial_0,mas_58,0.25
231027_S103_obj_01_grasp_19,trial_0,mas_59,0.26
231027_S103_obj_01_grasp_19,trial_0,mas_99,0.24
231027_S103_obj_01_grasp_19,trial_0,sub1_7,0.34
231027_S103_obj_01_grasp_19,trial_0,sub2_1,0.45
231027_S103_obj_01_grasp_19,trial_0,sub2_7,0.49
231027_S103_obj_01_grasp_19,trial_0,sub3_7,0.3
231027_S103_obj_01_grasp_19,trial_0,sub3_10,0.33
231027_S103_obj_01_grasp_19,trial_0,sub3_14,0.31
231027_S103_obj_01_grasp_19,trial_0,sub3_37,0.3
231027_S103_obj_01_grasp_19,trial_0,sub3_38,0.33
231027_S103_obj_01_grasp_19,trial_0,sub3_48,0.41
231027_S103_obj_01_grasp_19,trial_0,sub3_49,0.38
231027_S103_obj_01_grasp_19,trial_0,sub3_50,0.36
231027_S103_obj_01_grasp_19,trial_0,sub3_99,0.38
231027_S103_obj_01_grasp_22,trial_0,mas_5,0.41
231027_S103_obj_01_grasp_22,trial_0,mas_7,0.39
231027_S103_obj_01_grasp_22,trial_0,mas_47,0.3
231027_S103_obj_01_grasp_22,trial_0,mas_67,0.29
231027_S103_obj_01_grasp_22,trial_0,mas_69,0.25
231027_S103_obj_01_grasp_22,trial_0,mas_70,0.27
231027_S103_obj_01_grasp_22,trial_0,mas_75,0.29
231027_S103_obj_01_grasp_22,trial_0,mas_83,0.22
231027_S103_obj_01_grasp_22,trial_0,sub1_5,0.24
231027_S103_obj_01_grasp_22,trial_0,sub1_7,0.23
231027_S103_obj_01_grasp_22,trial_0,sub1_17,0.32
231027_S103_obj_01_grasp_22,trial_0,sub1_22,0.43
231027_S103_obj_01_grasp_22,trial_0,sub1_23,0.46
231027_S103_obj_01_grasp_22,trial_0,sub2_5,0.34
231027_S103_obj_01_grasp_22,trial_0,sub3_5,0.32
231027_S103_obj_02_grasp_1,trial_0,mas_3,0.27
231027_S103_obj_02_grasp_1,trial_0,mas_14,0.33
231027_S103_obj_02_grasp_1,trial_0,mas_19,0.28
231027_S103_obj_02_grasp_1,trial_0,mas_32,0.22
231027_S103_obj_02_grasp_1,trial_0,mas_34,0.26
231027_S103_obj_02_grasp_1,trial_0,mas_36,0.2
231027_S103_obj_02_grasp_1,trial_0,mas_37,0.3
231027_S103_obj_02_grasp_1,trial_0,mas_41,0.25
231027_S103_obj_02_grasp_1,trial_0,mas_42,0.24
231027_S103_obj_02_grasp_1,trial_0,mas_60,0.3
231027_S103_obj_02_grasp_1,trial_0,mas_61,0.29
231027_S103_obj_02_grasp_1,trial_0,mas_68,0.21
231027_S103_obj_02_grasp_1,trial_0,mas_69,0.21
231027_S103_obj_02_grasp_1,trial_0,mas_70,0.22
231027_S103_obj_02_grasp_1,trial_0,mas_71,0.25
231027_S103_obj_02_grasp_1,trial_0,mas_72,0.26
231027_S103_obj_02_grasp_1,trial_0,mas_73,0.29
231027_S103_obj_02_grasp_1,trial_0,mas_74,0.27
231027_S103_obj_02_grasp_1,trial_0,mas_75,0.25
231027_S103_obj_02_grasp_1,trial_0,mas_76,0.24
231027_S103_obj_02_grasp_1,trial_0,mas_77,0.24
231027_S103_obj_02_grasp_1,trial_0,mas_78,0.25
231027_S103_obj_02_grasp_1,trial_0,mas_79,0.25
231027_S103_obj_02_grasp_1,trial_0,sub1_2,0.24
231027_S103_obj_02_grasp_1,trial_0,sub1_3,0.19
231027_S103_obj_02_grasp_1,trial_0,sub1_4,0.17
231027_S103_obj_02_grasp_1,trial_0,sub1_6,0.2
231027_S103_obj_02_grasp_1,trial_0,sub1_7,0.2
231027_S103_obj_02_grasp_1,trial_0,sub1_8,0.18
231027_S103_obj_02_grasp_1,trial_0,sub1_12,0.17
231027_S103_obj_02_grasp_1,trial_0,sub1_14,0.19
231027_S103_obj_02_grasp_1,trial_0,sub1_25,0.25
231027_S103_obj_02_grasp_1,trial_0,sub1_27,0.27
231027_S103_obj_02_grasp_1,trial_0,sub1_29,0.26
231027_S103_obj_02_grasp_1,trial_0,sub1_49,0.48
231027_S103_obj_02_grasp_1,trial_0,sub1_58,0.23
231027_S103_obj_02_grasp_1,trial_0,sub1_60,0.21
231027_S103_obj_02_grasp_1,trial_0,sub1_61,0.23
231027_S103_obj_02_grasp_1,trial_0,sub1_62,0.24
231027_S103_obj_02_grasp_1,trial_0,sub1_63,0.23
231027_S103_obj_02_grasp_1,trial_0,sub1_64,0.22
231027_S103_obj_02_grasp_1,trial_0,sub1_65,0.22
231027_S103_obj_02_grasp_1,trial_0,sub1_67,0.19
231027_S103_obj_02_grasp_1,trial_0,sub1_68,0.25
231027_S103_obj_02_grasp_1,trial_0,sub1_69,0.22
231027_S103_obj_02_grasp_1,trial_0,sub1_70,0.25
231027_S103_obj_02_grasp_1,trial_0,sub1_71,0.29
231027_S103_obj_02_grasp_1,trial_0,sub1_73,0.31
231027_S103_obj_02_grasp_1,trial_0,sub2_3,0.27
231027_S103_obj_02_grasp_1,trial_0,sub2_4,0.28
231027_S103_obj_02_grasp_1,trial_0,sub2_6,0.22
231027_S103_obj_02_grasp_1,trial_0,sub2_7,0.26
231027_S103_obj_02_grasp_1,trial_0,sub2_8,0.24
231027_S103_obj_02_grasp_1,trial_0,sub2_12,0.35
231027_S103_obj_02_grasp_1,trial_0,sub2_14,0.31
231027_S103_obj_02_grasp_1,trial_0,sub2_41,0.28
231027_S103_obj_02_grasp_1,trial_0,sub2_46,0.31
231027_S103_obj_02_grasp_1,trial_0,sub2_49,0.39
231027_S103_obj_02_grasp_1,trial_0,sub2_50,0.38
231027_S103_obj_02_grasp_1,trial_0,sub2_60,0.39
231027_S103_obj_02_grasp_1,trial_0,sub2_62,0.32
231027_S103_obj_02_grasp_1,trial_0,sub2_63,0.34
231027_S103_obj_02_grasp_1,trial_0,sub2_69,0.38
231027_S103_obj_02_grasp_1,trial_0,sub3_2,0.25
231027_S103_obj_02_grasp_1,trial_0,sub3_3,0.26
231027_S103_obj_02_grasp_1,trial_0,sub3_4,0.22
231027_S103_obj_02_grasp_1,trial_0,sub3_6,0.18
231027_S103_obj_02_grasp_1,trial_0,sub3_7,0.16
231027_S103_obj_02_grasp_1,trial_0,sub3_8,0.18
231027_S103_obj_02_grasp_1,trial_0,sub3_12,0.16
231027_S103_obj_02_grasp_1,trial_0,sub3_14,0.16
231027_S103_obj_02_grasp_1,trial_0,sub3_25,0.32
231027_S103_obj_02_grasp_1,trial_0,sub3_27,0.33
231027_S103_obj_02_grasp_1,trial_0,sub3_29,0.39
231027_S103_obj_02_grasp_1,trial_0,sub3_32,0.26
231027_S103_obj_02_grasp_1,trial_0,sub3_46,0.24
231027_S103_obj_02_grasp_1,trial_0,sub3_49,0.24
231027_S103_obj_02_grasp_1,trial_0,sub3_50,0.22
231027_S103_obj_02_grasp_1,trial_0,sub3_53,0.22
231027_S103_obj_02_grasp_1,trial_0,sub3_58,0.28
231027_S103_obj_02_grasp_1,trial_0,sub3_60,0.24
231027_S103_obj_02_grasp_1,trial_0,sub3_61,0.28
231027_S103_obj_02_grasp_1,trial_0,sub3_62,0.29
231027_S103_obj_02_grasp_1,trial_0,sub3_63,0.25
231027_S103_obj_02_grasp_1,trial_0,sub3_64,0.24
231027_S103_obj_02_grasp_1,trial_0,sub3_65,0.24
231027_S103_obj_02_grasp_1,trial_0,sub3_67,0.26
231027_S103_obj_02_grasp_1,trial_0,sub3_68,0.27
231027_S103_obj_02_grasp_1,trial_0,sub3_69,0.31
231027_S103_obj_02_grasp_1,trial_0,sub3_70,0.32
231027_S103_obj_02_grasp_1,trial_0,sub3_71,0.34
231027_S103_obj_02_grasp_1,trial_0,sub3_72,0.34
231027_S103_obj_02_grasp_1,trial_0,sub3_73,0.33
231027_S103_obj_05_grasp_24,trial_0,mas_1,0.18
231027_S103_obj_05_grasp_24,trial_0,mas_6,0.21
231027_S103_obj_05_grasp_24,trial_0,mas_7,0.22
231027_S103_obj_05_grasp_24,trial_0,mas_17,0.23
231027_S103_obj_05_grasp_24,trial_0,mas_18,0.2
231027_S103_obj_05_grasp_24,trial_0,mas_19,0.21
231027_S103_obj_05_grasp_24,trial_0,mas_20,0.22
231027_S103_obj_05_grasp_24,trial_0,mas_33,0.37
231027_S103_obj_05_grasp_24,trial_0,mas_35,0.36
231027_S103_obj_05_grasp_24,trial_0,mas_36,0.33
231027_S103_obj_05_grasp_24,trial_0,mas_37,0.32
231027_S103_obj_05_grasp_24,trial_0,mas_39,0.27
231027_S103_obj_05_grasp_24,trial_0,mas_40,0.27
231027_S103_obj_05_grasp_24,trial_0,mas_61,0.25
231027_S103_obj_05_grasp_24,trial_0,mas_70,0.31
231027_S103_obj_05_grasp_24,trial_0,mas_71,0.25
231027_S103_obj_05_grasp_24,trial_0,mas_73,0.26
231027_S103_obj_05_grasp_24,trial_0,mas_78,0.31
231027_S103_obj_05_grasp_24,trial_0,sub1_1,0.2
231027_S103_obj_05_grasp_24,trial_0,sub1_3,0.24
231027_S103_obj_05_grasp_24,trial_0,sub1_6,0.28
231027_S103_obj_05_grasp_24,trial_0,sub1_10,0.28
231027_S103_obj_05_grasp_24,trial_0,sub1_11,0.34
231027_S103_obj_05_grasp_24,trial_0,sub1_19,0.27
231027_S103_obj_05_grasp_24,trial_0,sub1_33,0.26
231027_S103_obj_05_grasp_24,trial_0,sub1_34,0.27
231027_S103_obj_05_grasp_24,trial_0,sub1_36,0.28
231027_S103_obj_05_grasp_24,trial_0,sub1_37,0.25
231027_S103_obj_05_grasp_24,trial_0,sub1_39,0.26
231027_S103_obj_05_grasp_24,trial_0,sub1_40,0.27
231027_S103_obj_05_grasp_24,trial_0,sub1_61,0.3
231027_S103_obj_05_grasp_24,trial_0,sub1_70,0.26
231027_S103_obj_05_grasp_24,trial_0,sub1_71,0.27
231027_S103_obj_05_grasp_24,trial_0,sub1_73,0.23
231027_S103_obj_05_grasp_24,trial_0,sub1_78,0.25
231027_S103_obj_05_grasp_24,trial_0,sub2_0,0.46
231027_S103_obj_05_grasp_24,trial_0,sub2_20,0.45
231027_S103_obj_05_grasp_24,trial_0,sub2_33,0.36
231027_S103_obj_05_grasp_24,trial_0,sub2_34,0.38
231027_S103_obj_05_grasp_24,trial_0,sub2_35,0.37
231027_S103_obj_05_grasp_24,trial_0,sub2_36,0.45
231027_S103_obj_05_grasp_24,trial_0,sub2_37,0.41
231027_S103_obj_05_grasp_24,trial_0,sub2_39,0.43
231027_S103_obj_05_grasp_24,trial_0,sub2_40,0.42
231027_S103_obj_05_grasp_24,trial_0,sub2_61,0.48
231027_S103_obj_05_grasp_24,trial_0,sub2_70,0.35
231027_S103_obj_05_grasp_24,trial_0,sub2_73,0.37
231027_S103_obj_05_grasp_24,trial_0,sub2_78,0.35
231027_S103_obj_05_grasp_24,trial_0,sub3_1,0.22
231027_S103_obj_05_grasp_24,trial_0,sub3_6,0.24
231027_S103_obj_05_grasp_24,trial_0,sub3_7,0.29
231027_S103_obj_05_grasp_24,trial_0,sub3_10,0.29
231027_S103_obj_05_grasp_24,trial_0,sub3_11,0.3
231027_S103_obj_05_grasp_24,trial_0,sub3_16,0.33
231027_S103_obj_05_grasp_24,trial_0,sub3_17,0.32
231027_S103_obj_05_grasp_24,trial_0,sub3_18,0.34
231027_S103_obj_05_grasp_24,trial_0,sub3_19,0.38
231027_S103_obj_05_grasp_24,trial_0,sub3_20,0.37
231027_S103_obj_05_grasp_24,trial_0,sub3_33,0.32
231027_S103_obj_05_grasp_24,trial_0,sub3_35,0.31
231027_S103_obj_05_grasp_24,trial_0,sub3_36,0.31
231027_S103_obj_05_grasp_24,trial_0,sub3_37,0.33
231027_S103_obj_05_grasp_24,trial_0,sub3_39,0.33
231027_S103_obj_05_grasp_24,trial_0,sub3_40,0.3
231027_S103_obj_05_grasp_24,trial_0,sub3_44,0.41
231027_S103_obj_05_grasp_24,trial_0,sub3_45,0.37
231027_S103_obj_05_grasp_24,trial_0,sub3_52,0.37
231027_S103_obj_05_grasp_24,trial_0,sub3_59,0.33
231027_S103_obj_05_grasp_24,trial_0,sub3_61,0.3
231027_S103_obj_05_grasp_24,trial_0,sub3_70,0.48
231027_S103_obj_05_grasp_24,trial_0,sub3_71,0.48
231027_S103_obj_05_grasp_24,trial_0,sub3_73,0.44
231027_S103_obj_06_grasp_12,trial_0,mas_23,0.29
231027_S103_obj_06_grasp_12,trial_0,sub1_20,0.33
231027_S103_obj_06_grasp_12,trial_0,sub1_28,0.48
231027_S103_obj_06_grasp_12,trial_0,sub1_31,0.46
231027_S103_obj_06_grasp_12,trial_0,sub1_32,0.46
231027_S103_obj_06_grasp_12,trial_0,sub1_34,0.47
231027_S103_obj_06_grasp_12,trial_0,sub1_36,0.47
231027_S103_obj_06_grasp_12,trial_0,sub1_38,0.37
231027_S103_obj_06_grasp_12,trial_0,sub1_39,0.38
231027_S103_obj_06_grasp_12,trial_0,sub1_82,0.46
231027_S103_obj_06_grasp_12,trial_0,sub1_86,0.49
231027_S103_obj_06_grasp_12,trial_0,sub1_88,0.49
231027_S103_obj_06_grasp_12,trial_0,sub3_19,0.32
231027_S103_obj_06_grasp_12,trial_0,sub3_20,0.31
231027_S103_obj_06_grasp_12,trial_0,sub3_23,0.37
231027_S103_obj_06_grasp_12,trial_0,sub3_26,0.32
231027_S103_obj_06_grasp_12,trial_0,sub3_28,0.35
231027_S103_obj_06_grasp_12,trial_0,sub3_31,0.35
231027_S103_obj_06_grasp_12,trial_0,sub3_32,0.36
231027_S103_obj_06_grasp_12,trial_0,sub3_34,0.38
231027_S103_obj_06_grasp_12,trial_0,sub3_35,0.36
231027_S103_obj_06_grasp_12,trial_0,sub3_36,0.34
231027_S103_obj_06_grasp_12,trial_0,sub3_38,0.33
231027_S103_obj_06_grasp_12,trial_0,sub3_39,0.32
231027_S103_obj_06_grasp_12,trial_0,sub3_82,0.34
231027_S103_obj_06_grasp_12,trial_0,sub3_86,0.36
231027_S103_obj_06_grasp_12,trial_0,sub3_88,0.34
231027_S103_obj_06_grasp_12,trial_0,sub3_94,0.37
231027_S103_obj_06_grasp_12,trial_0,sub3_95,0.34
231027_S103_obj_06_grasp_12,trial_0,sub3_98,0.4
231027_S103_obj_06_grasp_12,trial_0,sub3_99,0.44
231027_S103_obj_07_grasp_31,trial_0,mas_38,0.31
231027_S103_obj_07_grasp_31,trial_0,mas_71,0.31
231027_S103_obj_07_grasp_31,trial_0,mas_88,0.32
231027_S103_obj_07_grasp_31,trial_0,mas_96,0.45
231027_S103_obj_07_grasp_31,trial_0,sub1_17,0.32
231027_S103_obj_07_grasp_31,trial_0,sub1_24,0.4
231027_S103_obj_07_grasp_31,trial_0,sub1_25,0.42
231027_S103_obj_07_grasp_31,trial_0,sub1_38,0.37
231027_S103_obj_07_grasp_31,trial_0,sub1_52,0.37
231027_S103_obj_07_grasp_31,trial_0,sub1_62,0.41
231027_S103_obj_07_grasp_31,trial_0,sub1_65,0.37
231027_S103_obj_07_grasp_31,trial_0,sub1_66,0.35
231027_S103_obj_07_grasp_31,trial_0,sub1_67,0.36
231027_S103_obj_07_grasp_31,trial_0,sub1_68,0.42
231027_S103_obj_07_grasp_31,trial_0,sub1_69,0.43
231027_S103_obj_07_grasp_31,trial_0,sub1_71,0.4
231027_S103_obj_07_grasp_31,trial_0,sub1_88,0.49
231027_S103_obj_07_grasp_31,trial_0,sub1_96,0.4
231027_S103_obj_07_grasp_31,trial_0,sub2_38,0.39
231027_S103_obj_07_grasp_31,trial_0,sub2_88,0.31
231027_S103_obj_07_grasp_31,trial_0,sub3_2,0.23
231027_S103_obj_07_grasp_31,trial_0,sub3_3,0.24
231027_S103_obj_07_grasp_31,trial_0,sub3_5,0.23
231027_S103_obj_07_grasp_31,trial_0,sub3_10,0.22
231027_S103_obj_07_grasp_31,trial_0,sub3_11,0.21
231027_S103_obj_07_grasp_31,trial_0,sub3_17,0.38
231027_S103_obj_07_grasp_31,trial_0,sub3_38,0.34
231027_S103_obj_07_grasp_31,trial_0,sub3_52,0.44
231027_S103_obj_07_grasp_31,trial_0,sub3_62,0.38
231027_S103_obj_07_grasp_31,trial_0,sub3_65,0.31
231027_S103_obj_07_grasp_31,trial_0,sub3_66,0.28
231027_S103_obj_07_grasp_31,trial_0,sub3_67,0.29
231027_S103_obj_07_grasp_31,trial_0,sub3_68,0.29
231027_S103_obj_07_grasp_31,trial_0,sub3_69,0.24
231027_S103_obj_07_grasp_31,trial_0,sub3_71,0.24
231027_S103_obj_07_grasp_31,trial_0,sub3_88,0.28
231027_S103_obj_07_grasp_31,trial_0,sub3_96,0.42
231027_S103_obj_08_grasp_18,trial_0,mas_4,0.29
231027_S103_obj_08_grasp_18,trial_0,mas_6,0.32
231027_S103_obj_08_grasp_18,trial_0,mas_9,0.23
231027_S103_obj_08_grasp_18,trial_0,mas_11,0.22
231027_S103_obj_08_grasp_18,trial_0,mas_13,0.2
231027_S103_obj_08_grasp_18,trial_0,mas_14,0.24
231027_S103_obj_08_grasp_18,trial_0,mas_15,0.23
231027_S103_obj_08_grasp_18,trial_0,mas_108,0.19
231027_S103_obj_08_grasp_18,trial_0,mas_110,0.2
231027_S103_obj_08_grasp_18,trial_0,mas_112,0.22
231027_S103_obj_08_grasp_18,trial_0,mas_113,0.22
231027_S103_obj_08_grasp_18,trial_0,mas_115,0.23
231027_S103_obj_08_grasp_18,trial_0,mas_116,0.21
231027_S103_obj_08_grasp_18,trial_0,sub1_13,0.31
231027_S103_obj_08_grasp_18,trial_0,sub1_113,0.34
231027_S103_obj_08_grasp_18,trial_0,sub2_4,0.26
231027_S103_obj_08_grasp_18,trial_0,sub2_6,0.27
231027_S103_obj_08_grasp_18,trial_0,sub2_11,0.22
231027_S103_obj_08_grasp_18,trial_0,sub2_12,0.21
231027_S103_obj_08_grasp_18,trial_0,sub2_13,0.21
231027_S103_obj_08_grasp_18,trial_0,sub2_14,0.24
231027_S103_obj_08_grasp_18,trial_0,sub2_15,0.22
231027_S103_obj_08_grasp_18,trial_0,sub2_109,0.47
231027_S103_obj_08_grasp_18,trial_0,sub2_110,0.44
231027_S103_obj_08_grasp_18,trial_0,sub2_111,0.43
231027_S103_obj_08_grasp_18,trial_0,sub2_113,0.45
231027_S103_obj_08_grasp_18,trial_0,sub2_115,0.44
231027_S103_obj_08_grasp_18,trial_0,sub2_116,0.4
231027_S103_obj_08_grasp_18,trial_0,sub3_11,0.29
231027_S103_obj_08_grasp_18,trial_0,sub3_113,0.38
231027_S103_obj_11_grasp_9,trial_0,mas_4,0.13
231027_S103_obj_11_grasp_9,trial_0,mas_8,0.14
231027_S103_obj_11_grasp_9,trial_0,mas_16,0.14
231027_S103_obj_11_grasp_9,trial_0,mas_17,0.15
231027_S103_obj_11_grasp_9,trial_0,mas_18,0.16
231027_S103_obj_11_grasp_9,trial_0,mas_19,0.17
231027_S103_obj_11_grasp_9,trial_0,mas_20,0.15
231027_S103_obj_11_grasp_9,trial_0,mas_21,0.14
231027_S103_obj_11_grasp_9,trial_0,mas_32,0.23
231027_S103_obj_11_grasp_9,trial_0,mas_33,0.25
231027_S103_obj_11_grasp_9,trial_0,mas_34,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_36,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_37,0.28
231027_S103_obj_11_grasp_9,trial_0,mas_38,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_39,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_41,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_45,0.25
231027_S103_obj_11_grasp_9,trial_0,mas_46,0.25
231027_S103_obj_11_grasp_9,trial_0,mas_48,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_50,0.26
